"month","type_of_wait","count"
2007-08-01,"No. within 18 weeks",2395656
2007-08-01,"No. > 18 weeks",1791318
2007-08-01,"No. > 52 weeks",578682
2007-08-01,"Total waiting",4186974
2007-09-01,"No. within 18 weeks",2364349
2007-09-01,"No. > 18 weeks",1633202
2007-09-01,"No. > 52 weeks",401725
2007-09-01,"Total waiting",3997551
2007-10-01,"No. within 18 weeks",2337604
2007-10-01,"No. > 18 weeks",1602217
2007-10-01,"No. > 52 weeks",387161
2007-10-01,"Total waiting",3939821
2007-11-01,"No. within 18 weeks",2269968
2007-11-01,"No. > 18 weeks",1651994
2007-11-01,"No. > 52 weeks",415215
2007-11-01,"Total waiting",3921962
2007-12-01,"No. within 18 weeks",2173205
2007-12-01,"No. > 18 weeks",1680631
2007-12-01,"No. > 52 weeks",434180
2007-12-01,"Total waiting",3853836
2008-01-01,"No. within 18 weeks",2151167
2008-01-01,"No. > 18 weeks",1359270
2008-01-01,"No. > 52 weeks",306034
2008-01-01,"Total waiting",3510437
2008-02-01,"No. within 18 weeks",2024628
2008-02-01,"No. > 18 weeks",1091445
2008-02-01,"No. > 52 weeks",253955
2008-02-01,"Total waiting",3116073
2008-03-01,"No. within 18 weeks",2017806
2008-03-01,"No. > 18 weeks",1038904
2008-03-01,"No. > 52 weeks",240689
2008-03-01,"Total waiting",3056710
2008-04-01,"No. within 18 weeks",2041274
2008-04-01,"No. > 18 weeks",898996
2008-04-01,"No. > 52 weeks",225860
2008-04-01,"Total waiting",2940270
2008-05-01,"No. within 18 weeks",2103566
2008-05-01,"No. > 18 weeks",768383
2008-05-01,"No. > 52 weeks",187394
2008-05-01,"Total waiting",2871949
2008-06-01,"No. within 18 weeks",2126177
2008-06-01,"No. > 18 weeks",617159
2008-06-01,"No. > 52 weeks",149029
2008-06-01,"Total waiting",2743336
2008-07-01,"No. within 18 weeks",2142703
2008-07-01,"No. > 18 weeks",498941
2008-07-01,"No. > 52 weeks",118801
2008-07-01,"Total waiting",2641644
2008-08-01,"No. within 18 weeks",2155168
2008-08-01,"No. > 18 weeks",520564
2008-08-01,"No. > 52 weeks",140727
2008-08-01,"Total waiting",2675732
2008-09-01,"No. within 18 weeks",2162608
2008-09-01,"No. > 18 weeks",470983
2008-09-01,"No. > 52 weeks",144213
2008-09-01,"Total waiting",2633591
2008-10-01,"No. within 18 weeks",2104538
2008-10-01,"No. > 18 weeks",370308
2008-10-01,"No. > 52 weeks",83601
2008-10-01,"Total waiting",2474846
2008-11-01,"No. within 18 weeks",2082990
2008-11-01,"No. > 18 weeks",349768
2008-11-01,"No. > 52 weeks",93080
2008-11-01,"Total waiting",2432758
2008-12-01,"No. within 18 weeks",1998655
2008-12-01,"No. > 18 weeks",347077
2008-12-01,"No. > 52 weeks",79418
2008-12-01,"Total waiting",2345732
2009-01-01,"No. within 18 weeks",1969144
2009-01-01,"No. > 18 weeks",334161
2009-01-01,"No. > 52 weeks",82232
2009-01-01,"Total waiting",2303305
2009-02-01,"No. within 18 weeks",2013965
2009-02-01,"No. > 18 weeks",296357
2009-02-01,"No. > 52 weeks",50678
2009-02-01,"Total waiting",2310322
2009-03-01,"No. within 18 weeks",2067346
2009-03-01,"No. > 18 weeks",293107
2009-03-01,"No. > 52 weeks",47013
2009-03-01,"Total waiting",2360453
2009-04-01,"No. within 18 weeks",2167437
2009-04-01,"No. > 18 weeks",250509
2009-04-01,"No. > 52 weeks",31800
2009-04-01,"Total waiting",2417946
2009-05-01,"No. within 18 weeks",2194642
2009-05-01,"No. > 18 weeks",250259
2009-05-01,"No. > 52 weeks",31065
2009-05-01,"Total waiting",2444901
2009-06-01,"No. within 18 weeks",2246375
2009-06-01,"No. > 18 weeks",236316
2009-06-01,"No. > 52 weeks",31628
2009-06-01,"Total waiting",2482691
2009-07-01,"No. within 18 weeks",2241908
2009-07-01,"No. > 18 weeks",239658
2009-07-01,"No. > 52 weeks",32563
2009-07-01,"Total waiting",2481566
2009-08-01,"No. within 18 weeks",2218857
2009-08-01,"No. > 18 weeks",241092
2009-08-01,"No. > 52 weeks",31608
2009-08-01,"Total waiting",2459949
2009-09-01,"No. within 18 weeks",2191974
2009-09-01,"No. > 18 weeks",236718
2009-09-01,"No. > 52 weeks",31756
2009-09-01,"Total waiting",2428692
2009-10-01,"No. within 18 weeks",2147615
2009-10-01,"No. > 18 weeks",228745
2009-10-01,"No. > 52 weeks",23388
2009-10-01,"Total waiting",2376360
2009-11-01,"No. within 18 weeks",2114966
2009-11-01,"No. > 18 weeks",222609
2009-11-01,"No. > 52 weeks",21619
2009-11-01,"Total waiting",2337575
2009-12-01,"No. within 18 weeks",2128078
2009-12-01,"No. > 18 weeks",237238
2009-12-01,"No. > 52 weeks",20792
2009-12-01,"Total waiting",2365316
2010-01-01,"No. within 18 weeks",2075443
2010-01-01,"No. > 18 weeks",239617
2010-01-01,"No. > 52 weeks",20737
2010-01-01,"Total waiting",2315060
2010-02-01,"No. within 18 weeks",2109462
2010-02-01,"No. > 18 weeks",227636
2010-02-01,"No. > 52 weeks",18681
2010-02-01,"Total waiting",2337098
2010-03-01,"No. within 18 weeks",2205542
2010-03-01,"No. > 18 weeks",214983
2010-03-01,"No. > 52 weeks",18494
2010-03-01,"Total waiting",2420525
2010-04-01,"No. within 18 weeks",2290852
2010-04-01,"No. > 18 weeks",217643
2010-04-01,"No. > 52 weeks",21098
2010-04-01,"Total waiting",2508495
2010-05-01,"No. within 18 weeks",2364484
2010-05-01,"No. > 18 weeks",209411
2010-05-01,"No. > 52 weeks",18458
2010-05-01,"Total waiting",2573895
2010-06-01,"No. within 18 weeks",2347510
2010-06-01,"No. > 18 weeks",221588
2010-06-01,"No. > 52 weeks",18221
2010-06-01,"Total waiting",2569098
2010-07-01,"No. within 18 weeks",2413409
2010-07-01,"No. > 18 weeks",243205
2010-07-01,"No. > 52 weeks",19585
2010-07-01,"Total waiting",2656614
2010-08-01,"No. within 18 weeks",2391511
2010-08-01,"No. > 18 weeks",263389
2010-08-01,"No. > 52 weeks",20855
2010-08-01,"Total waiting",2654900
2010-09-01,"No. within 18 weeks",2341244
2010-09-01,"No. > 18 weeks",249726
2010-09-01,"No. > 52 weeks",13442
2010-09-01,"Total waiting",2590970
2010-10-01,"No. within 18 weeks",2320939
2010-10-01,"No. > 18 weeks",250880
2010-10-01,"No. > 52 weeks",14254
2010-10-01,"Total waiting",2571819
2010-11-01,"No. within 18 weeks",2274528
2010-11-01,"No. > 18 weeks",252264
2010-11-01,"No. > 52 weeks",13568
2010-11-01,"Total waiting",2526792
2010-12-01,"No. within 18 weeks",2135754
2010-12-01,"No. > 18 weeks",275539
2010-12-01,"No. > 52 weeks",14671
2010-12-01,"Total waiting",2411293
2011-01-01,"No. within 18 weeks",2093487
2011-01-01,"No. > 18 weeks",276098
2011-01-01,"No. > 52 weeks",14222
2011-01-01,"Total waiting",2369585
2011-02-01,"No. within 18 weeks",2164846
2011-02-01,"No. > 18 weeks",276889
2011-02-01,"No. > 52 weeks",14880
2011-02-01,"Total waiting",2441735
2011-03-01,"No. within 18 weeks",2196360
2011-03-01,"No. > 18 weeks",259064
2011-03-01,"No. > 52 weeks",14355
2011-03-01,"Total waiting",2455424
2011-04-01,"No. within 18 weeks",2237539
2011-04-01,"No. > 18 weeks",236141
2011-04-01,"No. > 52 weeks",13434
2011-04-01,"Total waiting",2473680
2011-05-01,"No. within 18 weeks",2318419
2011-05-01,"No. > 18 weeks",225743
2011-05-01,"No. > 52 weeks",12536
2011-05-01,"Total waiting",2544162
2011-06-01,"No. within 18 weeks",2324293
2011-06-01,"No. > 18 weeks",226427
2011-06-01,"No. > 52 weeks",13257
2011-06-01,"Total waiting",2550720
2011-07-01,"No. within 18 weeks",2364495
2011-07-01,"No. > 18 weeks",247411
2011-07-01,"No. > 52 weeks",19937
2011-07-01,"Total waiting",2611906
2011-08-01,"No. within 18 weeks",2369340
2011-08-01,"No. > 18 weeks",245658
2011-08-01,"No. > 52 weeks",19938
2011-08-01,"Total waiting",2614998
2011-09-01,"No. within 18 weeks",2353826
2011-09-01,"No. > 18 weeks",243562
2011-09-01,"No. > 52 weeks",20097
2011-09-01,"Total waiting",2597388
2011-10-01,"No. within 18 weeks",2333475
2011-10-01,"No. > 18 weeks",234030
2011-10-01,"No. > 52 weeks",11132
2011-10-01,"Total waiting",2567505
2011-11-01,"No. within 18 weeks",2282411
2011-11-01,"No. > 18 weeks",218290
2011-11-01,"No. > 52 weeks",7324
2011-11-01,"Total waiting",2500701
2011-12-01,"No. within 18 weeks",2180122
2011-12-01,"No. > 18 weeks",205025
2011-12-01,"No. > 52 weeks",6071
2011-12-01,"Total waiting",2385147
2012-01-01,"No. within 18 weeks",2174872
2012-01-01,"No. > 18 weeks",183744
2012-01-01,"No. > 52 weeks",5898
2012-01-01,"Total waiting",2358616
2012-02-01,"No. within 18 weeks",2205482
2012-02-01,"No. > 18 weeks",175690
2012-02-01,"No. > 52 weeks",5653
2012-02-01,"Total waiting",2381172
2012-03-01,"No. within 18 weeks",2252479
2012-03-01,"No. > 18 weeks",161490
2012-03-01,"No. > 52 weeks",5149
2012-03-01,"Total waiting",2413969
2012-04-01,"No. within 18 weeks",2333158
2012-04-01,"No. > 18 weeks",147506
2012-04-01,"No. > 52 weeks",4213
2012-04-01,"Total waiting",2480664
2012-05-01,"No. within 18 weeks",2414369
2012-05-01,"No. > 18 weeks",142329
2012-05-01,"No. > 52 weeks",3308
2012-05-01,"Total waiting",2556698
2012-06-01,"No. within 18 weeks",2481026
2012-06-01,"No. > 18 weeks",154449
2012-06-01,"No. > 52 weeks",3478
2012-06-01,"Total waiting",2635475
2012-07-01,"No. within 18 weeks",2521975
2012-07-01,"No. > 18 weeks",159909
2012-07-01,"No. > 52 weeks",2959
2012-07-01,"Total waiting",2681884
2012-08-01,"No. within 18 weeks",2492105
2012-08-01,"No. > 18 weeks",144409
2012-08-01,"No. > 52 weeks",2054
2012-08-01,"Total waiting",2636514
2012-09-01,"No. within 18 weeks",2492388
2012-09-01,"No. > 18 weeks",148661
2012-09-01,"No. > 52 weeks",1570
2012-09-01,"Total waiting",2641049
2012-10-01,"No. within 18 weeks",2498882
2012-10-01,"No. > 18 weeks",137944
2012-10-01,"No. > 52 weeks",1281
2012-10-01,"Total waiting",2636826
2012-11-01,"No. within 18 weeks",2455642
2012-11-01,"No. > 18 weeks",135095
2012-11-01,"No. > 52 weeks",1147
2012-11-01,"Total waiting",2590737
2012-12-01,"No. within 18 weeks",2423808
2012-12-01,"No. > 18 weeks",141318
2012-12-01,"No. > 52 weeks",1085
2012-12-01,"Total waiting",2565126
2013-01-01,"No. within 18 weeks",2393789
2013-01-01,"No. > 18 weeks",143741
2013-01-01,"No. > 52 weeks",842
2013-01-01,"Total waiting",2537530
2013-02-01,"No. within 18 weeks",2425992
2013-02-01,"No. > 18 weeks",146001
2013-02-01,"No. > 52 weeks",663
2013-02-01,"Total waiting",2571993
2013-03-01,"No. within 18 weeks",2508128
2013-03-01,"No. > 18 weeks",153037
2013-03-01,"No. > 52 weeks",473
2013-03-01,"Total waiting",2661165
2013-04-01,"No. within 18 weeks",2596934
2013-04-01,"No. > 18 weeks",151874
2013-04-01,"No. > 52 weeks",391
2013-04-01,"Total waiting",2748808
2013-05-01,"No. within 18 weeks",2699788
2013-05-01,"No. > 18 weeks",147585
2013-05-01,"No. > 52 weeks",434
2013-05-01,"Total waiting",2847373
2013-06-01,"No. within 18 weeks",2724755
2013-06-01,"No. > 18 weeks",154449
2013-06-01,"No. > 52 weeks",295
2013-06-01,"Total waiting",2879204
2013-07-01,"No. within 18 weeks",2745065
2013-07-01,"No. > 18 weeks",161424
2013-07-01,"No. > 52 weeks",368
2013-07-01,"Total waiting",2906489
2013-08-01,"No. within 18 weeks",2767545
2013-08-01,"No. > 18 weeks",169436
2013-08-01,"No. > 52 weeks",350
2013-08-01,"Total waiting",2936981
2013-09-01,"No. within 18 weeks",2734352
2013-09-01,"No. > 18 weeks",168964
2013-09-01,"No. > 52 weeks",387
2013-09-01,"Total waiting",2903316
2013-10-01,"No. within 18 weeks",2742336
2013-10-01,"No. > 18 weeks",169907
2013-10-01,"No. > 52 weeks",257
2013-10-01,"Total waiting",2912243
2013-11-01,"No. within 18 weeks",2705480
2013-11-01,"No. > 18 weeks",173649
2013-11-01,"No. > 52 weeks",214
2013-11-01,"Total waiting",2879129
2013-12-01,"No. within 18 weeks",2695700
2013-12-01,"No. > 18 weeks",184456
2013-12-01,"No. > 52 weeks",316
2013-12-01,"Total waiting",2880156
2014-01-01,"No. within 18 weeks",2715719
2014-01-01,"No. > 18 weeks",189612
2014-01-01,"No. > 52 weeks",430
2014-01-01,"Total waiting",2905331
2014-02-01,"No. within 18 weeks",2719650
2014-02-01,"No. > 18 weeks",191555
2014-02-01,"No. > 52 weeks",539
2014-02-01,"Total waiting",2911205
2014-03-01,"No. within 18 weeks",2729396
2014-03-01,"No. > 18 weeks",182046
2014-03-01,"No. > 52 weeks",488
2014-03-01,"Total waiting",2911442
2014-04-01,"No. within 18 weeks",2831337
2014-04-01,"No. > 18 weeks",188774
2014-04-01,"No. > 52 weeks",516
2014-04-01,"Total waiting",3020111
2014-05-01,"No. within 18 weeks",2903097
2014-05-01,"No. > 18 weeks",193832
2014-05-01,"No. > 52 weeks",572
2014-05-01,"Total waiting",3096929
2014-06-01,"No. within 18 weeks",2939344
2014-06-01,"No. > 18 weeks",196752
2014-06-01,"No. > 52 weeks",594
2014-06-01,"Total waiting",3136096
2014-07-01,"No. within 18 weeks",2864937
2014-07-01,"No. > 18 weeks",205313
2014-07-01,"No. > 52 weeks",532
2014-07-01,"Total waiting",3070250
2014-08-01,"No. within 18 weeks",2878288
2014-08-01,"No. > 18 weeks",212237
2014-08-01,"No. > 52 weeks",490
2014-08-01,"Total waiting",3090525
2014-09-01,"No. within 18 weeks",2795366
2014-09-01,"No. > 18 weeks",195871
2014-09-01,"No. > 52 weeks",362
2014-09-01,"Total waiting",2991237
2014-10-01,"No. within 18 weeks",2801516
2014-10-01,"No. > 18 weeks",204390
2014-10-01,"No. > 52 weeks",381
2014-10-01,"Total waiting",3005906
2014-11-01,"No. within 18 weeks",2790268
2014-11-01,"No. > 18 weeks",199990
2014-11-01,"No. > 52 weeks",362
2014-11-01,"Total waiting",2990258
2014-12-01,"No. within 18 weeks",2718870
2014-12-01,"No. > 18 weeks",209544
2014-12-01,"No. > 52 weeks",399
2014-12-01,"Total waiting",2928414
2015-01-01,"No. within 18 weeks",2706862
2015-01-01,"No. > 18 weeks",217183
2015-01-01,"No. > 52 weeks",440
2015-01-01,"Total waiting",2924045
2015-02-01,"No. within 18 weeks",2725305
2015-02-01,"No. > 18 weeks",202908
2015-02-01,"No. > 52 weeks",442
2015-02-01,"Total waiting",2928213
2015-03-01,"No. within 18 weeks",2800845
2015-03-01,"No. > 18 weeks",206032
2015-03-01,"No. > 52 weeks",475
2015-03-01,"Total waiting",3006877
2015-04-01,"No. within 18 weeks",2821088
2015-04-01,"No. > 18 weeks",201424
2015-04-01,"No. > 52 weeks",413
2015-04-01,"Total waiting",3022512
2015-05-01,"No. within 18 weeks",2965989
2015-05-01,"No. > 18 weeks",206638
2015-05-01,"No. > 52 weeks",634
2015-05-01,"Total waiting",3172627
2015-06-01,"No. within 18 weeks",2980377
2015-06-01,"No. > 18 weeks",216748
2015-06-01,"No. > 52 weeks",751
2015-06-01,"Total waiting",3197125
2015-07-01,"No. within 18 weeks",3027537
2015-07-01,"No. > 18 weeks",232507
2015-07-01,"No. > 52 weeks",786
2015-07-01,"Total waiting",3260044
2015-08-01,"No. within 18 weeks",3080794
2015-08-01,"No. > 18 weeks",246261
2015-08-01,"No. > 52 weeks",739
2015-08-01,"Total waiting",3327055
2015-09-01,"No. within 18 weeks",3058504
2015-09-01,"No. > 18 weeks",247388
2015-09-01,"No. > 52 weeks",756
2015-09-01,"Total waiting",3305892
2015-10-01,"No. within 18 weeks",3059956
2015-10-01,"No. > 18 weeks",253954
2015-10-01,"No. > 52 weeks",868
2015-10-01,"Total waiting",3313910
2015-11-01,"No. within 18 weeks",3055104
2015-11-01,"No. > 18 weeks",251406
2015-11-01,"No. > 52 weeks",835
2015-11-01,"Total waiting",3306510
2015-12-01,"No. within 18 weeks",3026929
2015-12-01,"No. > 18 weeks",268983
2015-12-01,"No. > 52 weeks",758
2015-12-01,"Total waiting",3295912
