"ltla21_code","total_residents","sexual_orientation","n","prop"
"E07000133",42943,"Bisexual",403,"0.009384533"
"E07000133",42943,"All other sexual orientations",74,"0.001723214"
"E07000133",42943,"Not answered",2657,"0.061872715"
"E07000134",86165,"Straight or Heterosexual",78803,"0.914559276"
"E07000134",86165,"Gay or Lesbian",1072,"0.012441246"
"E07000134",86165,"Bisexual",866,"0.010050485"
"E07000134",86165,"All other sexual orientations",201,"0.002332734"
"E07000134",86165,"Not answered",5223,"0.060616260"
"E07000135",47210,"Straight or Heterosexual",42558,"0.901461555"
"E07000135",47210,"Gay or Lesbian",422,"0.008938784"
"E07000135",47210,"Bisexual",427,"0.009044694"
"E07000135",47210,"All other sexual orientations",121,"0.002563016"
"E07000135",47210,"Not answered",3682,"0.077991951"
"E07000136",57584,"Straight or Heterosexual",50755,"0.881408030"
"E07000136",57584,"Gay or Lesbian",567,"0.009846485"
"E07000136",57584,"Bisexual",493,"0.008561406"
"E07000136",57584,"All other sexual orientations",188,"0.003264796"
"E07000136",57584,"Not answered",5581,"0.096919283"
"E07000137",121418,"Straight or Heterosexual",109121,"0.898721771"
"E07000137",121418,"Gay or Lesbian",1461,"0.012032812"
"E07000137",121418,"Bisexual",1019,"0.008392495"
"E07000137",121418,"All other sexual orientations",221,"0.001820158"
"E07000137",121418,"Not answered",9596,"0.079032763"
"E07000138",87068,"Straight or Heterosexual",73780,"0.847383654"
"E07000138",87068,"Gay or Lesbian",1880,"0.021592319"
"E07000138",87068,"Bisexual",2974,"0.034157210"
"E07000138",87068,"All other sexual orientations",670,"0.007695135"
"E07000138",87068,"Not answered",7764,"0.089171682"
"E07000139",98015,"Straight or Heterosexual",89493,"0.913054124"
"E07000139",98015,"Gay or Lesbian",1093,"0.011151354"
"E07000139",98015,"Bisexual",940,"0.009590369"
"E07000139",98015,"All other sexual orientations",199,"0.002030301"
"E07000139",98015,"Not answered",6290,"0.064173851"
"E07000140",78997,"Straight or Heterosexual",70520,"0.892692128"
"E07000140",78997,"Gay or Lesbian",720,"0.009114270"
"E07000140",78997,"Bisexual",663,"0.008392724"
"E07000140",78997,"All other sexual orientations",183,"0.002316544"
"E07000140",78997,"Not answered",6911,"0.087484335"
"E07000141",118011,"Straight or Heterosexual",107682,"0.912474261"
"E07000141",118011,"Gay or Lesbian",1246,"0.010558338"
"E07000141",118011,"Bisexual",1145,"0.009702485"
"E07000141",118011,"All other sexual orientations",216,"0.001830338"
"E07000141",118011,"Not answered",7722,"0.065434578"
"E07000142",79118,"Straight or Heterosexual",72167,"0.912143886"
"E07000142",79118,"Gay or Lesbian",862,"0.010895119"
"E07000142",79118,"Bisexual",802,"0.010136758"
"E07000142",79118,"All other sexual orientations",165,"0.002085493"
"E07000142",79118,"Not answered",5122,"0.064738745"
"E07000143",117852,"Straight or Heterosexual",106301,"0.901987238"
"E07000143",117852,"Gay or Lesbian",1296,"0.010996843"
"E07000143",117852,"Bisexual",1202,"0.010199233"
"E07000143",117852,"All other sexual orientations",263,"0.002231613"
"E07000143",117852,"Not answered",8790,"0.074585073"
"E07000144",110503,"Straight or Heterosexual",100942,"0.913477462"
"E07000144",110503,"Gay or Lesbian",1277,"0.011556247"
"E07000144",110503,"Bisexual",963,"0.008714696"
"E07000144",110503,"All other sexual orientations",210,"0.001900401"
"E07000144",110503,"Not answered",7111,"0.064351194"
"E07000145",82719,"Straight or Heterosexual",74017,"0.894800469"
"E07000145",82719,"Gay or Lesbian",1080,"0.013056251"
"E07000145",82719,"Bisexual",879,"0.010626337"
"E07000145",82719,"All other sexual orientations",293,"0.003542112"
"E07000145",82719,"Not answered",6450,"0.077974830"
"E07000146",128892,"Straight or Heterosexual",116071,"0.900529125"
"E07000146",128892,"Gay or Lesbian",1425,"0.011055768"
"E07000146",128892,"Bisexual",1201,"0.009317879"
"E07000146",128892,"All other sexual orientations",291,"0.002257704"
"E07000146",128892,"Not answered",9904,"0.076839525"
"E07000147",89145,"Straight or Heterosexual",79634,"0.893308654"
"E07000147",89145,"Gay or Lesbian",1183,"0.013270514"
"E07000147",89145,"Bisexual",859,"0.009635986"
"E07000147",89145,"All other sexual orientations",193,"0.002165012"
"E07000147",89145,"Not answered",7276,"0.081619833"
"E07000148",120763,"Straight or Heterosexual",101477,"0.840298767"
"E07000148",120763,"Gay or Lesbian",3025,"0.025049063"
"E07000148",120763,"Bisexual",4700,"0.038919205"
"E07000148",120763,"All other sexual orientations",1118,"0.009257802"
"E07000148",120763,"Not answered",10443,"0.086475162"
"E07000149",117219,"Straight or Heterosexual",106656,"0.909886622"
"E07000149",117219,"Gay or Lesbian",1450,"0.012370008"
"E07000149",117219,"Bisexual",1174,"0.010015441"
"E07000149",117219,"All other sexual orientations",252,"0.002149822"
"E07000149",117219,"Not answered",7687,"0.065578106"
"E07000163",48284,"Straight or Heterosexual",44081,"0.912952531"
"E07000163",48284,"Gay or Lesbian",532,"0.011018143"
"E07000163",48284,"Bisexual",404,"0.008367161"
"E07000163",48284,"All other sexual orientations",96,"0.001988236"
"E07000163",48284,"Not answered",3171,"0.065673929"
"E07000164",76984,"Straight or Heterosexual",70818,"0.919905435"
"E07000164",76984,"Gay or Lesbian",700,"0.009092799"
"E07000164",76984,"Bisexual",550,"0.007144342"
"E07000164",76984,"All other sexual orientations",122,"0.001584745"
"E07000164",76984,"Not answered",4794,"0.062272680"
"E07000165",135304,"Straight or Heterosexual",122943,"0.908642760"
"E07000165",135304,"Gay or Lesbian",1531,"0.011315260"
"E07000165",135304,"Bisexual",1156,"0.008543724"
"E07000165",135304,"All other sexual orientations",298,"0.002202448"
"E07000165",135304,"Not answered",9376,"0.069295808"
"E07000166",41740,"Straight or Heterosexual",38420,"0.920459990"
"E07000166",41740,"Gay or Lesbian",450,"0.010781025"
"E07000166",41740,"Bisexual",366,"0.008768567"
"E07000166",41740,"All other sexual orientations",68,"0.001629133"
"E07000166",41740,"Not answered",2436,"0.058361284"
"E07000167",46324,"Straight or Heterosexual",42164,"0.910197738"
"E07000167",46324,"Gay or Lesbian",461,"0.009951645"
"E07000167",46324,"Bisexual",376,"0.008116743"
"E07000167",46324,"All other sexual orientations",81,"0.001748554"
"E07000167",46324,"Not answered",3242,"0.069985321"
"E07000168",92111,"Straight or Heterosexual",82925,"0.900272497"
"E07000168",92111,"Gay or Lesbian",1298,"0.014091694"
"E07000168",92111,"Bisexual",965,"0.010476490"
"E07000168",92111,"All other sexual orientations",252,"0.002735830"
"E07000168",92111,"Not answered",6671,"0.072423489"
"E07000169",75432,"Straight or Heterosexual",69510,"0.921492205"
"E07000169",75432,"Gay or Lesbian",801,"0.010618836"
"E07000169",75432,"Bisexual",643,"0.008524234"
"E07000169",75432,"All other sexual orientations",139,"0.001842719"
"E07000169",75432,"Not answered",4339,"0.057522007"
"E07000170",102843,"Straight or Heterosexual",93238,"0.906605214"
"E07000170",102843,"Gay or Lesbian",1451,"0.014108884"
"E07000170",102843,"Bisexual",987,"0.009597153"
"E07000170",102843,"All other sexual orientations",203,"0.001973883"
"E07000170",102843,"Not answered",6964,"0.067714866"
"E07000171",97367,"Straight or Heterosexual",88969,"0.913749011"
"E07000171",97367,"Gay or Lesbian",1118,"0.011482330"
"E07000171",97367,"Bisexual",779,"0.008000657"
"E07000171",97367,"All other sexual orientations",187,"0.001920569"
"E07000171",97367,"Not answered",6314,"0.064847433"
"E07000172",92540,"Straight or Heterosexual",83457,"0.901847850"
"E07000172",92540,"Gay or Lesbian",1258,"0.013594121"
"E07000172",92540,"Bisexual",1348,"0.014566674"
"E07000172",92540,"All other sexual orientations",311,"0.003360709"
"E07000172",92540,"Not answered",6166,"0.066630646"
"E07000173",96459,"Straight or Heterosexual",87931,"0.911589380"
"E07000173",96459,"Gay or Lesbian",1382,"0.014327331"
"E07000173",96459,"Bisexual",995,"0.010315263"
"E07000173",96459,"All other sexual orientations",228,"0.002363699"
"E07000173",96459,"Not answered",5923,"0.061404327"
"E07000174",90170,"Straight or Heterosexual",81971,"0.909071753"
"E07000174",90170,"Gay or Lesbian",1211,"0.013430187"
"E07000174",90170,"Bisexual",970,"0.010757458"
"E07000174",90170,"All other sexual orientations",224,"0.002484197"
"E07000174",90170,"Not answered",5794,"0.064256405"
"E07000175",101968,"Straight or Heterosexual",92844,"0.910520948"
"E07000175",101968,"Gay or Lesbian",1330,"0.013043308"
"E07000175",101968,"Bisexual",1039,"0.010189471"
"E07000175",101968,"All other sexual orientations",223,"0.002186961"
"E07000175",101968,"Not answered",6532,"0.064059313"
"E07000176",97723,"Straight or Heterosexual",89104,"0.911801725"
"E07000176",97723,"Gay or Lesbian",1271,"0.013006150"
"E07000176",97723,"Bisexual",1121,"0.011471199"
"E07000176",97723,"All other sexual orientations",255,"0.002609416"
"E07000176",97723,"Not answered",5972,"0.061111509"
"E07000177",130589,"Straight or Heterosexual",117986,"0.903491106"
"E07000177",130589,"Gay or Lesbian",1762,"0.013492714"
"E07000177",130589,"Bisexual",1499,"0.011478762"
"E07000177",130589,"All other sexual orientations",463,"0.003545475"
"E07000177",130589,"Not answered",8879,"0.067991944"
"E07000178",136717,"Straight or Heterosexual",109859,"0.803550400"
"E07000178",136717,"Gay or Lesbian",3237,"0.023676646"
"E07000178",136717,"Bisexual",4953,"0.036228121"
"E07000178",136717,"All other sexual orientations",1257,"0.009194175"
"E07000178",136717,"Not answered",17411,"0.127350659"
"E07000179",121494,"Straight or Heterosexual",110653,"0.910769256"
"E07000179",121494,"Gay or Lesbian",1383,"0.011383278"
"E07000179",121494,"Bisexual",1182,"0.009728876"
"E07000179",121494,"All other sexual orientations",328,"0.002699722"
"E07000179",121494,"Not answered",7948,"0.065418868"
"E07000180",112427,"Straight or Heterosexual",101920,"0.906543802"
"E07000180",112427,"Gay or Lesbian",1331,"0.011838793"
"E07000180",112427,"Bisexual",1368,"0.012167896"
"E07000180",112427,"All other sexual orientations",338,"0.003006395"
"E07000180",112427,"Not answered",7470,"0.066443114"
"E07000181",93809,"Straight or Heterosexual",85888,"0.915562473"
"E07000181",93809,"Gay or Lesbian",1115,"0.011885853"
"E07000181",93809,"Bisexual",1007,"0.010734578"
"E07000181",93809,"All other sexual orientations",208,"0.002217271"
"E07000181",93809,"Not answered",5591,"0.059599825"
"E07000187",96051,"Straight or Heterosexual",85790,"0.893171336"
"E07000187",96051,"Gay or Lesbian",1105,"0.011504305"
"E07000187",96051,"Bisexual",1185,"0.012337196"
"E07000187",96051,"All other sexual orientations",282,"0.002935940"
"E07000187",96051,"Not answered",7689,"0.080051223"
"E07000188",103781,"Straight or Heterosexual",93579,"0.901696842"
"E07000188",103781,"Gay or Lesbian",1233,"0.011880787"
"E07000188",103781,"Bisexual",1107,"0.010666692"
"E07000188",103781,"All other sexual orientations",302,"0.002909974"
"E07000188",103781,"Not answered",7560,"0.072845704"
"E07000189",143812,"Straight or Heterosexual",129908,"0.903318221"
"E07000189",143812,"Gay or Lesbian",1519,"0.010562401"
"E07000189",143812,"Bisexual",1449,"0.010075654"
"E07000189",143812,"All other sexual orientations",281,"0.001953940"
"E07000189",143812,"Not answered",10655,"0.074089784"
"E07000192",82478,"Straight or Heterosexual",75947,"0.920815248"
"E07000192",82478,"Gay or Lesbian",1094,"0.013264143"
"E07000192",82478,"Bisexual",781,"0.009469192"
"E07000192",82478,"All other sexual orientations",192,"0.002327893"
"E07000192",82478,"Not answered",4464,"0.054123524"
"E07000193",100509,"Straight or Heterosexual",90866,"0.904058343"
"E07000193",100509,"Gay or Lesbian",1138,"0.011322369"
"E07000193",100509,"Bisexual",999,"0.009939408"
"E07000193",100509,"All other sexual orientations",282,"0.002805719"
"E07000193",100509,"Not answered",7224,"0.071874161"
"E07000194",88596,"Straight or Heterosexual",81990,"0.925436814"
"E07000194",88596,"Gay or Lesbian",1020,"0.011512935"
"E07000194",88596,"Bisexual",713,"0.008047767"
"E07000194",88596,"All other sexual orientations",135,"0.001523771"
"E07000194",88596,"Not answered",4738,"0.053478712"
"E07000195",103183,"Straight or Heterosexual",93169,"0.902949129"
"E07000195",103183,"Gay or Lesbian",1390,"0.013471211"
"E07000195",103183,"Bisexual",1387,"0.013442137"
"E07000195",103183,"All other sexual orientations",298,"0.002888073"
"E07000195",103183,"Not answered",6939,"0.067249450"
"E07000196",93372,"Straight or Heterosexual",86672,"0.928244013"
"E07000196",93372,"Gay or Lesbian",908,"0.009724543"
"E07000196",93372,"Bisexual",583,"0.006243842"
"E07000196",93372,"All other sexual orientations",109,"0.001167374"
"E07000196",93372,"Not answered",5100,"0.054620229"
"E07000197",113616,"Straight or Heterosexual",103695,"0.912679552"
"E07000197",113616,"Gay or Lesbian",1469,"0.012929517"
"E07000197",113616,"Bisexual",1162,"0.010227433"
"E07000197",113616,"All other sexual orientations",199,"0.001751514"
"E07000197",113616,"Not answered",7091,"0.062411984"
"E07000198",80855,"Straight or Heterosexual",74326,"0.919250510"
"E07000198",80855,"Gay or Lesbian",754,"0.009325335"
"E07000198",80855,"Bisexual",555,"0.006864140"
"E07000198",80855,"All other sexual orientations",125,"0.001545977"
"E07000198",80855,"Not answered",5095,"0.063014037"
"E07000199",63793,"Straight or Heterosexual",58751,"0.920963115"
"E07000199",63793,"Gay or Lesbian",733,"0.011490289"
"E07000199",63793,"Bisexual",599,"0.009389745"
"E07000199",63793,"All other sexual orientations",137,"0.002147571"
"E07000199",63793,"Not answered",3573,"0.056009280"
"E07000200",77378,"Straight or Heterosexual",70434,"0.910258730"
"E07000200",77378,"Gay or Lesbian",843,"0.010894570"
"E07000200",77378,"Bisexual",655,"0.008464938"
"E07000200",77378,"All other sexual orientations",149,"0.001925612"
"E07000200",77378,"Not answered",5297,"0.068456150"
"E07000202",111832,"Straight or Heterosexual",99026,"0.885488948"
"E07000202",111832,"Gay or Lesbian",1724,"0.015415981"
"E07000202",111832,"Bisexual",1752,"0.015666357"
"E07000202",111832,"All other sexual orientations",616,"0.005508262"
"E07000202",111832,"Not answered",8714,"0.077920452"
"E07000203",86303,"Straight or Heterosexual",79066,"0.916144282"
"E07000203",86303,"Gay or Lesbian",989,"0.011459625"
"E07000203",86303,"Bisexual",764,"0.008852531"
"E07000203",86303,"All other sexual orientations",178,"0.002062501"
"E07000203",86303,"Not answered",5306,"0.061481061"
"E07000207",108773,"Straight or Heterosexual",99381,"0.913655043"
"E07000207",108773,"Gay or Lesbian",1155,"0.010618444"
"E07000207",108773,"Bisexual",838,"0.007704118"
"E07000207",108773,"All other sexual orientations",219,"0.002013367"
"E07000207",108773,"Not answered",7180,"0.066009028"
"E07000208",64607,"Straight or Heterosexual",58730,"0.909034625"
"E07000208",64607,"Gay or Lesbian",691,"0.010695435"
"E07000208",64607,"Bisexual",568,"0.008791617"
"E07000208",64607,"All other sexual orientations",144,"0.002228861"
"E07000208",64607,"Not answered",4474,"0.069249462"
"E07000209",119359,"Straight or Heterosexual",106016,"0.888211195"
"E07000209",119359,"Gay or Lesbian",1670,"0.013991404"
"E07000209",119359,"Bisexual",1990,"0.016672392"
"E07000209",119359,"All other sexual orientations",458,"0.003837164"
"E07000209",119359,"Not answered",9225,"0.077287846"
"E07000210",72341,"Straight or Heterosexual",66189,"0.914958322"
"E07000210",72341,"Gay or Lesbian",762,"0.010533446"
"E07000210",72341,"Bisexual",598,"0.008266405"
"E07000210",72341,"All other sexual orientations",147,"0.002032043"
"E07000210",72341,"Not answered",4645,"0.064209784"
"E07000211",120129,"Straight or Heterosexual",109322,"0.910038375"
"E07000211",120129,"Gay or Lesbian",1398,"0.011637490"
"E07000211",120129,"Bisexual",1089,"0.009065255"
"E07000211",120129,"All other sexual orientations",269,"0.002239259"
"E07000211",120129,"Not answered",8051,"0.067019621"
"E07000212",72721,"Straight or Heterosexual",64392,"0.885466371"
"E07000212",72721,"Gay or Lesbian",1017,"0.013984956"
"E07000212",72721,"Bisexual",1233,"0.016955212"
"E07000212",72721,"All other sexual orientations",282,"0.003877834"
"E07000212",72721,"Not answered",5797,"0.079715625"
"E07000213",83362,"Straight or Heterosexual",75505,"0.905748423"
"E07000213",83362,"Gay or Lesbian",1088,"0.013051510"
"E07000213",83362,"Bisexual",704,"0.008445095"
"E07000213",83362,"All other sexual orientations",161,"0.001931336"
"E07000213",83362,"Not answered",5904,"0.070823637"
"E07000214",73784,"Straight or Heterosexual",67799,"0.918884853"
"E07000214",73784,"Gay or Lesbian",775,"0.010503632"
"E07000214",73784,"Bisexual",589,"0.007982760"
"E07000214",73784,"All other sexual orientations",156,"0.002114280"
"E07000214",73784,"Not answered",4465,"0.060514475"
"E07000215",70826,"Straight or Heterosexual",64718,"0.913760483"
"E07000215",70826,"Gay or Lesbian",744,"0.010504617"
"E07000215",70826,"Bisexual",559,"0.007892582"
"E07000215",70826,"All other sexual orientations",141,"0.001990794"
"E07000215",70826,"Not answered",4664,"0.065851523"
"E07000216",103636,"Straight or Heterosexual",94198,"0.908931259"
"E07000216",103636,"Gay or Lesbian",1076,"0.010382493"
"E07000216",103636,"Bisexual",1225,"0.011820217"
"E07000216",103636,"All other sexual orientations",278,"0.002682466"
"E07000216",103636,"Not answered",6859,"0.066183566"
"E07000217",82982,"Straight or Heterosexual",75426,"0.908944108"
"E07000217",82982,"Gay or Lesbian",980,"0.011809790"
"E07000217",82982,"Bisexual",839,"0.010110626"
"E07000217",82982,"All other sexual orientations",281,"0.003386277"
"E07000217",82982,"Not answered",5456,"0.065749199"
"E07000218",53898,"Straight or Heterosexual",49554,"0.919403317"
"E07000218",53898,"Gay or Lesbian",652,"0.012096924"
"E07000218",53898,"Bisexual",456,"0.008460425"
"E07000218",53898,"All other sexual orientations",102,"0.001892464"
"E07000218",53898,"Not answered",3134,"0.058146870"
"E07000219",108588,"Straight or Heterosexual",98981,"0.911527977"
"E07000219",108588,"Gay or Lesbian",1360,"0.012524404"
"E07000219",108588,"Bisexual",1087,"0.010010314"
"E07000219",108588,"All other sexual orientations",241,"0.002219398"
"E07000219",108588,"Not answered",6919,"0.063717906"
"E07000220",92187,"Straight or Heterosexual",83469,"0.905431351"
"E07000220",92187,"Gay or Lesbian",1072,"0.011628538"
"E07000220",92187,"Bisexual",973,"0.010554634"
"E07000220",92187,"All other sexual orientations",256,"0.002776964"
"E07000220",92187,"Not answered",6417,"0.069608513"
"E07000221",112639,"Straight or Heterosexual",103165,"0.915890589"
"E07000221",112639,"Gay or Lesbian",1272,"0.011292714"
"E07000221",112639,"Bisexual",946,"0.008398512"
"E07000221",112639,"All other sexual orientations",209,"0.001855485"
"E07000221",112639,"Not answered",7047,"0.062562700"
"E07000222",123252,"Straight or Heterosexual",110731,"0.898411385"
"E07000222",123252,"Gay or Lesbian",1644,"0.013338526"
"E07000222",123252,"Bisexual",2001,"0.016235031"
"E07000222",123252,"All other sexual orientations",485,"0.003935027"
"E07000222",123252,"Not answered",8391,"0.068080031"
"E07000223",52953,"Straight or Heterosexual",47736,"0.901478670"
"E07000223",52953,"Gay or Lesbian",1015,"0.019167941"
"E07000223",52953,"Bisexual",623,"0.011765150"
"E07000223",52953,"All other sexual orientations",153,"0.002889355"
"E07000223",52953,"Not answered",3426,"0.064698884"
"E07000224",139551,"Straight or Heterosexual",125990,"0.902824057"
"E07000224",139551,"Gay or Lesbian",2002,"0.014346010"
"E07000224",139551,"Bisexual",1361,"0.009752707"
"E07000224",139551,"All other sexual orientations",310,"0.002221410"
"E07000224",139551,"Not answered",9888,"0.070855816"
"E07000225",104709,"Straight or Heterosexual",94857,"0.905910667"
"E07000225",104709,"Gay or Lesbian",1418,"0.013542293"
"E07000225",104709,"Bisexual",1257,"0.012004699"
"E07000225",104709,"All other sexual orientations",306,"0.002922385"
"E07000225",104709,"Not answered",6871,"0.065619956"
"E07000226",93569,"Straight or Heterosexual",84098,"0.898780579"
"E07000226",93569,"Gay or Lesbian",1399,"0.014951533"
"E07000226",93569,"Bisexual",1018,"0.010879672"
"E07000226",93569,"All other sexual orientations",302,"0.003227565"
"E07000226",93569,"Not answered",6752,"0.072160651"
"E07000227",120663,"Straight or Heterosexual",110092,"0.912392366"
"E07000227",120663,"Gay or Lesbian",1584,"0.013127471"
"E07000227",120663,"Bisexual",1223,"0.010135667"
"E07000227",120663,"All other sexual orientations",267,"0.002212774"
"E07000227",120663,"Not answered",7497,"0.062131722"
"E07000228",123315,"Straight or Heterosexual",112276,"0.910481288"
"E07000228",123315,"Gay or Lesbian",1642,"0.013315493"
"E07000228",123315,"Bisexual",1303,"0.010566436"
"E07000228",123315,"All other sexual orientations",302,"0.002449013"
"E07000228",123315,"Not answered",7792,"0.063187771"
"E07000229",92354,"Straight or Heterosexual",81855,"0.886317864"
"E07000229",92354,"Gay or Lesbian",1983,"0.021471728"
"E07000229",92354,"Bisexual",1380,"0.014942504"
"E07000229",92354,"All other sexual orientations",350,"0.003789765"
"E07000229",92354,"Not answered",6786,"0.073478138"
"E07000234",81098,"Straight or Heterosexual",74613,"0.920035019"
"E07000234",81098,"Gay or Lesbian",896,"0.011048361"
"E07000234",81098,"Bisexual",612,"0.007546425"
"E07000234",81098,"All other sexual orientations",137,"0.001689314"
"E07000234",81098,"Not answered",4840,"0.059680880"
"E07000235",67120,"Straight or Heterosexual",60981,"0.908536949"
"E07000235",67120,"Gay or Lesbian",750,"0.011174017"
"E07000235",67120,"Bisexual",591,"0.008805125"
"E07000235",67120,"All other sexual orientations",142,"0.002115614"
"E07000235",67120,"Not answered",4656,"0.069368296"
"E07000236",70251,"Straight or Heterosexual",64095,"0.912371354"
"E07000236",70251,"Gay or Lesbian",871,"0.012398400"
"E07000236",70251,"Bisexual",639,"0.009095956"
"E07000236",70251,"All other sexual orientations",147,"0.002092497"
"E07000236",70251,"Not answered",4499,"0.064041793"
"E07000237",85607,"Straight or Heterosexual",76463,"0.893186305"
"E07000237",85607,"Gay or Lesbian",1341,"0.015664607"
"E07000237",85607,"Bisexual",1367,"0.015968320"
"E07000237",85607,"All other sexual orientations",303,"0.003539430"
"E07000237",85607,"Not answered",6133,"0.071641338"
"E07000238",110718,"Straight or Heterosexual",101636,"0.917971784"
"E07000238",110718,"Gay or Lesbian",1188,"0.010729963"
"E07000238",110718,"Bisexual",893,"0.008065536"
"E07000238",110718,"All other sexual orientations",192,"0.001734135"
"E07000238",110718,"Not answered",6809,"0.061498582"
"E07000239",84563,"Straight or Heterosexual",76797,"0.908163145"
"E07000239",84563,"Gay or Lesbian",1030,"0.012180268"
