"date","year","month","waits_over_18_weeks_count","waits_over_18_weeks_percent"
2011-11-01,2011,"Nov",11100,0.104189154941476
2011-12-01,2011,"Dec",7770,0.0798988153998026
2012-01-01,2012,"Jan",8950,0.0858513189448441
2012-02-01,2012,"Feb",9238,0.0863913515131113
2012-03-01,2012,"Mar",9421,0.0846702076985989
2012-04-01,2012,"Apr",7626,0.0796873530548907
2012-05-01,2012,"May",8484,0.0759548067109528
2012-06-01,2012,"Jun",7588,0.0757996523684892
2012-07-01,2012,"Jul",8240,0.083444727994491
2012-08-01,2012,"Aug",9732,0.0861818568240588
2012-09-01,2012,"Sep",9114,0.0917575281645476
2012-10-01,2012,"Oct",10295,0.092106322636057
2012-11-01,2012,"Nov",10868,0.0958740968797691
2012-12-01,2012,"Dec",8218,0.0907264296754248
2013-01-01,2013,"Jan",9951,0.0948391708363115
2013-02-01,2013,"Feb",9571,0.09608473044875
2013-03-01,2013,"Mar",9206,0.0936501800573744
2013-04-01,2013,"Apr",10373,0.100019284543438
2013-05-01,2013,"May",10186,0.0935276239796528
2013-06-01,2013,"Jun",8342,0.0843589147208432
2013-07-01,2013,"Jul",8749,0.0843008970640663
2013-08-01,2013,"Aug",9333,0.0885425066646428
2013-09-01,2013,"Sep",9317,0.0912652933282396
2013-10-01,2013,"Oct",10114,0.0939683365541846
2013-11-01,2013,"Nov",10514,0.100173402694411
2013-12-01,2013,"Dec",8801,0.0923630715627525
2014-01-01,2014,"Jan",10867,0.101794780523446
2014-02-01,2014,"Feb",10366,0.104863836847004
2014-03-01,2014,"Mar",11232,0.108429547824072
2014-04-01,2014,"Apr",10680,0.106993658521925
2014-05-01,2014,"May",10455,0.099443572549579
2014-06-01,2014,"Jun",10327,0.0962666045210906
2014-07-01,2014,"Jul",10317,0.100575160850068
2014-08-01,2014,"Aug",10700,0.105477953136244
2014-09-01,2014,"Sep",11465,0.105685735882451
2014-10-01,2014,"Oct",11795,0.10921599674065
2014-11-01,2014,"Nov",12807,0.122907869481766
2014-12-01,2014,"Dec",11299,0.114077155289913
2015-01-01,2015,"Jan",12819,0.126115401642973
2015-02-01,2015,"Feb",12500,0.12682887233913
2015-03-01,2015,"Mar",13418,0.122239632679834
2015-04-01,2015,"Apr",12303,0.124233825771728
2015-05-01,2015,"May",11650,0.115437970669838
2015-06-01,2015,"Jun",12839,0.117402317138964
2015-07-01,2015,"Jul",12314,0.11996336996337
2015-08-01,2015,"Aug",12621,0.120780898607589
2015-09-01,2015,"Sep",14167,0.127538710839035
2015-10-01,2015,"Oct",14360,0.13514403756929
2015-11-01,2015,"Nov",15365,0.137252449820004
2015-12-01,2015,"Dec",13248,0.128881625029185
2016-01-01,2016,"Jan",13011,0.132795117271224
2016-02-01,2016,"Feb",14704,0.137994462953404
2016-03-01,2016,"Mar",14869,0.133992376249223
2016-04-01,2016,"Apr",14330,0.139352153491583
2016-05-01,2016,"May",14007,0.12774864334899
2016-06-01,2016,"Jun",14555,0.130282225941872
2016-07-01,2016,"Jul",12370,0.134057264234779
2016-08-01,2016,"Aug",16188,0.140447683498178
2016-09-01,2016,"Sep",16635,0.153499058797475
2016-10-01,2016,"Oct",15995,0.1582817107685
2016-11-01,2016,"Nov",18735,0.163228144766419
2016-12-01,2016,"Dec",15485,0.161806041734151
2017-01-01,2017,"Jan",17613,0.16843101815991
2017-02-01,2017,"Feb",17151,0.170180887270418
2017-03-01,2017,"Mar",19448,0.167882392548536
2017-04-01,2017,"Apr",14389,0.165362293857381
2017-05-01,2017,"May",16699,0.152980083915059
2017-06-01,2017,"Jun",15945,0.15243931586344
2017-07-01,2017,"Jul",13713,0.168263862473465
2017-08-01,2017,"Aug",17290,0.176223576655727
2017-09-01,2017,"Sep",16528,0.185795543964568
2017-10-01,2017,"Oct",17599,0.186671333715183
2017-11-01,2017,"Nov",19120,0.185328784119107
2017-12-01,2017,"Dec",13991,0.174911550338172
2018-01-01,2018,"Jan",19354,0.190368461432534
2018-02-01,2018,"Feb",17680,0.190359292397472
2018-03-01,2018,"Mar",18133,0.188271572892548
2018-04-01,2018,"Apr",17197,0.190552699228792
2018-05-01,2018,"May",18324,0.173819009675583
2018-06-01,2018,"Jun",16795,0.171556109420008
2018-07-01,2018,"Jul",15279,0.169538731261304
2018-08-01,2018,"Aug",17945,0.175042431572992
2018-09-01,2018,"Sep",17538,0.188216355441082
2018-10-01,2018,"Oct",21897,0.210010933573744
2018-11-01,2018,"Nov",22831,0.213807441259376
2018-12-01,2018,"Dec",17516,0.205360283255563
2019-01-01,2019,"Jan",22782,0.220972075383854
2019-02-01,2019,"Feb",21180,0.220818215938947
2019-03-01,2019,"Mar",23326,0.227340064714826
2019-04-01,2019,"Apr",20194,0.214953271028037
2019-05-01,2019,"May",20452,0.208020993317534
2019-06-01,2019,"Jun",19053,0.208124877110961
2019-07-01,2019,"Jul",19061,0.207597721554832
2019-08-01,2019,"Aug",21072,0.221284103081091
2019-09-01,2019,"Sep",21922,0.230901296594727
2019-10-01,2019,"Oct",21862,0.222384977671987
2019-11-01,2019,"Nov",22353,0.228313160717022
2019-12-01,2019,"Dec",17760,0.210901318133238
2020-01-01,2020,"Jan",21927,0.22902653018592
2020-02-01,2020,"Feb",20329,0.226136578528761
2020-03-01,2020,"Mar",13090,0.197507393324884
2020-04-01,2020,"Apr",4453,0.187510527202291
2020-05-01,2020,"May",5353,0.192859201614066
2020-06-01,2020,"Jun",8463,0.221834862385321
2020-07-01,2020,"Jul",11874,0.291465180784997
2020-08-01,2020,"Aug",14725,0.328375183979305
2020-09-01,2020,"Sep",17219,0.319639873770188
2020-10-01,2020,"Oct",16345,0.293816286176523
2020-11-01,2020,"Nov",17456,0.283142203694993
2020-12-01,2020,"Dec",14715,0.260060442182281
2021-01-01,2021,"Jan",12390,0.236161939615737
2021-02-01,2021,"Feb",13113,0.234286224763266
2021-03-01,2021,"Mar",16789,0.245009047924815
2021-04-01,2021,"Apr",14842,0.247403777233252
2021-05-01,2021,"May",16395,0.253013163783392
2021-06-01,2021,"Jun",17651,0.249403020926059
2021-07-01,2021,"Jul",15104,0.245957432949568
2021-08-01,2021,"Aug",16043,0.240654626185047
2021-09-01,2021,"Sep",16599,0.247019956248047
2021-10-01,2021,"Oct",15841,0.251097690490909
2021-11-01,2021,"Nov",20575,0.270492342075856
2021-12-01,2021,"Dec",15816,0.251438745985819
2022-01-01,2022,"Jan",15735,0.25920434890042
2022-02-01,2022,"Feb",17743,0.274804076448905
2022-03-01,2022,"Mar",20583,0.27754854368932
2022-04-01,2022,"Apr",15480,0.265400243455004
2022-05-01,2022,"May",18533,0.257631783807829
2022-06-01,2022,"Jun",17770,0.261354276973762
2022-07-01,2022,"Jul",17326,0.261287890212638
2022-08-01,2022,"Aug",22646,0.277660617949975
2022-09-01,2022,"Sep",22187,0.288161568933047
2022-10-01,2022,"Oct",22794,0.300752078110569
2022-11-01,2022,"Nov",26966,0.313012188044109
2022-12-01,2022,"Dec",20448,0.30338729061262
2023-01-01,2023,"Jan",23001,0.311068134483785
2023-02-01,2023,"Feb",24602,0.331795867724011
2023-03-01,2023,"Mar",27830,0.328796578530753
2023-04-01,2023,"Apr",20112,0.304395205230657
2023-05-01,2023,"May",24295,0.302692398739145
2023-06-01,2023,"Jun",24472,0.304015106340688
2023-07-01,2023,"Jul",21137,0.301075421978492
2023-08-01,2023,"Aug",26543,0.314979411171368
2023-09-01,2023,"Sep",24848,0.321627813660898
2023-10-01,2023,"Oct",25963,0.326899347787767
2023-11-01,2023,"Nov",29333,0.340712949949473
2023-12-01,2023,"Dec",22767,0.335796460176991
2024-01-01,2024,"Jan",28076,0.346057610531116
2024-02-01,2024,"Feb",28505,0.350309078172813
2024-03-01,2024,"Mar",26564,0.338567422890645
2024-04-01,2024,"Apr",25558,0.323965978375227
2024-05-01,2024,"May",27336,0.317893733065088
2024-06-01,2024,"Jun",24507,0.316211194549818
2024-07-01,2024,"Jul",25516,0.318981898189819
2024-08-01,2024,"Aug",26392,0.324556980705142
2024-09-01,2024,"Sep",25819,0.328741134977527
